casa,genero,id_parlamentar,nome_completo,nome_eleitoral,partido,uf
senado,Masculino,2057,Manoel Cordeiro Villaça,Manoel Villaça,NA,NA
senado,Masculino,2194,Pedro Mansueto de Lavor,Mansueto de Lavor,NA,NA
senado,Feminino,5376,Mara Cristina Gabrilli,Mara Gabrilli,PSDB,SP
senado,Masculino,3253,Marcello Nunes de Alencar,Marcello de Alencar,NA,NA
senado,Masculino,742,Marcelo Costa e Castro,Marcelo Castro,MDB,PI
senado,Masculino,3366,Marcelo Bezerra Crivella,Marcelo Crivella,PRB,NA
senado,Feminino,5915,Maria Márcia Rodrigues de Almeida,Marcia do Angico,NA,NA
senado,Masculino,285,Márcio Miguel Bittar,Marcio Bittar,MDB,AC
senado,Masculino,4788,Marco Antônio Costa,Marco Antonio,PSL,NA
senado,Masculino,86,Marco Antônio de Oliveira Maciel,Marco Maciel,DEM,NA
senado,Masculino,710,Marcondes Iran Benevides Gadelha,Marcondes Gadelha,PSC,NA
senado,Masculino,4535,Marconi Ferreira Perillo Júnior,Marconi Perillo,PSDB,NA
senado,Masculino,2105,Marcos de Barros Freire,Marcos Freire,NA,NA
senado,Masculino,105,Marcos Guerra,Marcos Guerra,PSDB,NA
senado,Masculino,103,Marcos Rocha de Andrade,Marcos Rocha de Andrade,NA,NA
senado,Masculino,5422,Marcos Rogério da Silva Brito,Marcos Rogério,DEM,RO
senado,Masculino,1084,Marcos Tavares Silva,Marcos Tavares,NA,NA
senado,Masculino,4778,Marcos de Almeida Castro,Marcos de Almeida Castro,NA,NA
senado,Masculino,6287,Marcos de Souza Costa,Marcos de Souza Costa,NA,NA
senado,Masculino,5942,Marcos Ribeiro do Val,Marcos do Val,CIDADANIA,ES
senado,Masculino,3586,Marcus Antonio Soares da Cunha,Marcus Antonio,NA,NA
senado,Feminino,5909,Maria Alice Melo de Araújo,Maria Alice,NA,NA
senado,Masculino,5124,Maria Antonieta Amorim dos Santos,Maria Antonieta Amorim dos Santos,MDB,NA
senado,Feminino,101,Maria Benigna Oliveira do Nascimento Jucá,Maria Benigna Jucá,PSB,NA
senado,Feminino,6019,Maria Eliza de Aguiar e Silva,Maria Eliza,NA,NA
senado,Feminino,1146,Maria Ivone Loureiro Ribeiro,Maria Ivone,NA,NA
senado,Masculino,5190,Maria Luza de Aquino Machado,Maria Luza de Aquino Machado,PTB,NA
senado,Feminino,2813,Maria Syrlei Donato,Maria Syrlei,NA,NA
senado,Masculino,4943,Maria da Graça Gomes Paiva,Maria da Graça Gomes Paiva,NA,NA
senado,Feminino,5994,Maria da Conceição dos Anjos,Maria da Taiçoca,NA,NA
