id_parlamentar,id_parlamentar_parlametria,partido_disciplina,partido_atual,casa,votos_validos,num_seguiu,disciplina,bancada_suficiente
5895,25895,CIDADANIA,CIDADANIA,senado,68,55,0.8088235294117647,TRUE
5895,25895,PATRIOTA,CIDADANIA,senado,1,1,1,NA
5895,25895,PSB,CIDADANIA,senado,7,5,0.7142857142857143,NA
5899,25899,PP,PSD,senado,17,17,1,NA
5899,25899,PSD,PSD,senado,53,44,0.8301886792452831,TRUE
5905,25905,PSDB,PSDB,senado,73,54,0.7397260273972602,TRUE
5924,25924,PODEMOS,PODEMOS,senado,65,55,0.8461538461538461,TRUE
5926,25926,PSD,PSD,senado,69,52,0.7536231884057971,TRUE
5929,25929,PODEMOS,PODEMOS,senado,16,12,0.75,TRUE
5929,25929,PSL,PODEMOS,senado,6,6,1,NA
5942,25942,CIDADANIA,PODEMOS,senado,5,4,0.8,NA
5942,25942,PODEMOS,PODEMOS,senado,60,47,0.7833333333333333,TRUE
5953,25953,REDE,REDE,senado,75,70,0.9333333333333333,FALSE
5959,25959,PODEMOS,PODEMOS,senado,74,64,0.8648648648648649,TRUE
5967,25967,PSD,PSD,senado,76,72,0.9473684210526315,TRUE
5973,25973,PDT,PDT,senado,33,30,0.9090909090909091,TRUE
5976,25976,PODEMOS,PODEMOS,senado,78,62,0.7948717948717948,TRUE
5979,25979,PSB,PSB,senado,73,73,1,FALSE
5982,25982,CIDADANIA,CIDADANIA,senado,74,67,0.9054054054054054,TRUE
5985,25985,PSD,PSD,senado,74,72,0.972972972972973,TRUE
5988,25988,PSL,PSL,senado,72,50,0.6944444444444444,FALSE
5990,25990,PSD,PSD,senado,77,70,0.9090909090909091,TRUE
5998,25998,PP,PP,senado,70,66,0.9428571428571428,TRUE
6027,26027,REPUBLICANOS,REPUBLICANOS,senado,71,71,1,FALSE
6295,26295,PSD,PSD,senado,48,42,0.875,TRUE
62881,162881,PSDB,PSDB,camara,152,139,0.9144736842105263,TRUE
66179,166179,DEM,DEM,camara,547,461,0.8427787934186471,TRUE
66828,166828,PP,PP,camara,456,391,0.8574561403508771,TRUE
67138,167138,PP,PP,camara,327,309,0.944954128440367,TRUE
68720,168720,PDT,PDT,camara,590,453,0.7677966101694915,TRUE
69871,169871,PODEMOS,PODEMOS,camara,509,120,0.2357563850687623,TRUE
72442,172442,PSB,PSB,camara,523,291,0.5564053537284895,TRUE
73433,173433,PT,PT,camara,466,445,0.9549356223175965,TRUE
73441,173441,REPUBLICANOS,REPUBLICANOS,camara,448,321,0.7165178571428571,TRUE
73460,173460,PDT,PDT,camara,447,348,0.7785234899328859,TRUE
73466,173466,CIDADANIA,CIDADANIA,camara,585,510,0.8717948717948718,TRUE
73482,173482,PT,PT,camara,505,472,0.9346534653465347,TRUE
73486,173486,PDT,PDT,camara,485,405,0.8350515463917526,TRUE
73531,173531,PSOL,PSOL,camara,535,500,0.9345794392523364,TRUE
73586,173586,PSB,PSB,camara,514,426,0.8287937743190662,TRUE
73604,173604,PT,PT,camara,529,497,0.9395085066162571,TRUE
73692,173692,MDB,MDB,camara,270,216,0.8,TRUE
73696,173696,PP,PP,camara,562,465,0.8274021352313167,TRUE
73701,173701,PT,PT,camara,484,452,0.9338842975206612,TRUE
73772,173772,MDB,MDB,camara,459,355,0.7734204793028322,TRUE
73788,173788,PP,PP,camara,400,374,0.935,TRUE
73801,173801,PCdoB,PCdoB,camara,542,488,0.9003690036900369,TRUE
73808,173808,PSD,PSD,camara,305,279,0.9147540983606557,TRUE
73891,173891,MDB,MDB,camara,197,153,0.7766497461928934,TRUE
73943,173943,PCdoB,PCdoB,camara,530,470,0.8867924528301887,TRUE
74043,174043,PL,PL,camara,171,148,0.8654970760233918,TRUE
74044,174044,PTB,PTB,camara,433,350,0.8083140877598153,TRUE
74052,174052,PL,PL,camara,560,505,0.9017857142857143,TRUE
74057,174057,PCdoB,PCdoB,camara,564,510,0.9042553191489362,TRUE
74060,174060,PCdoB,PCdoB,camara,455,408,0.8967032967032967,TRUE
74075,174075,MDB,MDB,camara,384,314,0.8177083333333334,TRUE
74079,174079,MDB,MDB,camara,320,271,0.846875,TRUE
74090,174090,PP,PP,camara,456,424,0.9298245614035088,TRUE
74156,174156,PT,PT,camara,480,447,0.93125,TRUE
74158,174158,PDT,PDT,camara,356,321,0.901685393258427,TRUE
74159,174159,PT,PT,camara,436,407,0.9334862385321101,TRUE
74160,174160,PT,PT,camara,491,465,0.9470468431771895,TRUE
74161,174161,PT,PT,camara,465,444,0.9548387096774194,TRUE
74165,174165,PSD,PSD,camara,53,46,0.8679245283018868,TRUE
74200,174200,PROS,PROS,camara,435,258,0.593103448275862,TRUE
74212,174212,DEM,DEM,camara,110,103,0.9363636363636364,TRUE
74262,174262,PSDB,PSDB,camara,454,412,0.9074889867841409,TRUE
74270,174270,PSC,PSC,camara,410,237,0.5780487804878048,TRUE
74273,174273,PSB,PSB,camara,433,140,0.3233256351039261,TRUE
74283,174283,PT,PT,camara,521,492,0.944337811900192,TRUE
74299,174299,PDT,PDT,camara,525,467,0.8895238095238095,TRUE
74305,174305,PSDB,PSDB,camara,246,210,0.8536585365853658,TRUE
74317,174317,PSD,PSD,camara,458,424,0.925764192139738,TRUE
74319,174319,PTB,PTB,camara,171,153,0.8947368421052632,TRUE
74352,174352,PSDB,PSDB,camara,486,416,0.8559670781893004,TRUE
74356,174356,REPUBLICANOS,REPUBLICANOS,camara,452,329,0.7278761061946902,TRUE
74366,174366,REPUBLICANOS,REPUBLICANOS,camara,394,289,0.733502538071066,TRUE
74371,174371,PT,PT,camara,449,430,0.9576837416481069,TRUE
74376,174376,PT,PT,camara,478,455,0.9518828451882845,TRUE
74383,174383,PL,PL,camara,394,363,0.9213197969543148,TRUE
74398,174398,PT,PT,camara,453,427,0.9426048565121413,TRUE
74399,174399,DEM,DEM,camara,31,31,1,TRUE
74400,174400,PT,PT,camara,401,378,0.942643391521197,TRUE
74419,174419,PSB,PSB,camara,428,381,0.8901869158878505,TRUE
74439,174439,PDT,PDT,camara,467,423,0.9057815845824411,TRUE
74459,174459,PP,PP,camara,379,352,0.9287598944591029,TRUE
74459,174459,PSB,PP,camara,197,37,0.18781725888324874,NA
74467,174467,PDT,PDT,camara,422,367,0.8696682464454977,TRUE
74471,174471,PSD,PSD,camara,493,450,0.9127789046653144,TRUE
74478,174478,PSL,PSL,camara,194,180,0.9278350515463918,TRUE
74537,174537,PP,PP,camara,485,448,0.9237113402061856,TRUE
74554,174554,PL,PL,camara,390,350,0.8974358974358975,TRUE
74571,174571,PT,PT,camara,166,155,0.9337349397590361,TRUE
74574,174574,PSD,PSD,camara,475,402,0.8463157894736842,TRUE
74585,174585,PL,PL,camara,516,436,0.8449612403100775,TRUE
74646,174646,PSDB,PSDB,camara,306,257,0.8398692810457516,TRUE
74655,174655,PSDB,PSDB,camara,528,451,0.8541666666666666,TRUE
74693,174693,DEM,DEM,camara,131,107,0.816793893129771,TRUE
74749,174749,MDB,MDB,camara,456,368,0.8070175438596491,TRUE
74784,174784,PSOL,PSOL,camara,497,439,0.8832997987927566,TRUE
74806,174806,MDB,MDB,camara,153,136,0.8888888888888888,TRUE
74848,174848,PCdoB,PCdoB,camara,513,461,0.898635477582846,TRUE
75431,175431,PTB,PTB,camara,515,434,0.8427184466019417,TRUE
76874,176874,PSOL,PSOL,camara,540,514,0.9518518518518518,TRUE
81055,181055,PCdoB,PCdoB,camara,498,444,0.891566265060241,TRUE
81297,181297,PSL,PSL,camara,599,535,0.8931552587646077,TRUE
90201,190201,PTB,PTB,camara,521,399,0.7658349328214972,TRUE
90842,190842,PTB,PTB,camara,552,443,0.802536231884058,TRUE
92102,192102,DEM,DEM,camara,469,388,0.8272921108742004,TRUE
92172,192172,PSB,PSB,camara,51,42,0.8235294117647058,TRUE
92346,192346,PSL,PSL,camara,483,431,0.8923395445134575,TRUE
92699,192699,PP,PP,camara,488,431,0.8831967213114754,TRUE
92776,192776,PSD,PSD,camara,460,404,0.8782608695652174,TRUE
93083,193083,PP,PP,camara,529,501,0.947069943289225,TRUE
98057,198057,REPUBLICANOS,REPUBLICANOS,camara,481,338,0.7027027027027027,TRUE
107283,1107283,PT,PT,camara,341,324,0.9501466275659824,TRUE
108338,1108338,PP,PP,camara,514,466,0.9066147859922179,TRUE
109429,1109429,PTC,REPUBLICANOS,camara,17,0,0,NA
109429,1109429,REPUBLICANOS,REPUBLICANOS,camara,523,376,0.7189292543021033,TRUE
112437,1112437,MDB,MDB,camara,412,357,0.866504854368932,TRUE
115746,1115746,PHS,PL,camara,16,0,0,NA
115746,1115746,PL,PL,camara,512,476,0.9296875,TRUE
116379,1116379,PSD,PSD,camara,464,424,0.9137931034482759,TRUE
121948,1121948,PP,PP,camara,584,551,0.9434931506849316,TRUE
122158,1122158,DEM,DEM,camara,433,357,0.8244803695150116,TRUE
122466,1122466,REPUBLICANOS,REPUBLICANOS,camara,76,32,0.42105263157894735,TRUE
122974,1122974,PTB,PTB,camara,471,392,0.832271762208068,TRUE
128760,1128760,PL,PL,camara,123,110,0.8943089430894309,TRUE
