legislatura,id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,situacao,em_exercicio,is_parlamentar
53,141480,1141480,camara,Lázaro Botelho,M,PP,TO,Titular,0,1
53,141481,1141481,camara,Leandro Sampaio,M,PPS,RJ,Titular,0,1
53,74367,174367,camara,Leandro Vilela,M,PMDB,GO,Titular,0,1
53,141562,1141562,camara,Lelo Coimbra,M,MDB,ES,Titular,0,1
53,74455,174455,camara,Leo Alcântara,M,PR,CE,Titular,0,1
53,141452,1141452,camara,Léo Vivas,M,PRB,RJ,Titular,0,1
53,74156,174156,camara,Leonardo Monteiro,M,PT,MG,Titular,1,1
53,74254,174254,camara,Leonardo Picciani,M,MDB,RJ,Titular,0,1
53,141482,1141482,camara,Leonardo Quintão,M,MDB,MG,Titular,0,1
53,74368,174368,camara,Leonardo Vilela,M,PSDB,GO,Titular,0,1
53,139285,1139285,camara,Lídice Da Mata,F,PSB,BA,Titular,1,1
53,74585,174585,camara,Lincoln Portela,M,PL,MG,Titular,1,1
53,141483,1141483,camara,Lindomar Garçon,M,PRB,RO,Titular,0,1
53,141462,1141462,camara,Lira Maia,M,DEM,PA,Titular,0,1
53,74277,174277,camara,Lobbe Neto,M,PSDB,SP,Efetivado,0,1
53,141504,1141504,camara,Lucenira Pimentel,F,PR,AP,Titular,0,1
53,81512,181512,camara,Luciana Costa,F,PR,SP,Efetivado,0,1
53,74397,174397,camara,Luciana Genro,F,PSOL,RS,Titular,0,1
53,73982,173982,camara,Luciano Castro,M,PR,RR,Titular,0,1
53,73777,173777,camara,Luciano Pizzatto,M,DEM,PR,Suplente,0,1
53,141484,1141484,camara,Lúcio Vale,M,PR,PA,Titular,0,1
53,73483,173483,camara,Luis Carlos Heinze,M,PP,RS,Titular,0,1
53,74133,174133,camara,Luiz Alberto,M,PT,BA,Titular,0,1
53,74059,174059,camara,Luiz Bassuma,M,PV,BA,Titular,0,1
53,74810,174810,camara,Luiz Bittencourt,M,PMDB,GO,Titular,0,1
53,141485,1141485,camara,Luiz Carlos Busato,M,PTB,RS,Titular,0,1
53,73778,173778,camara,Luiz Carlos Hauly,M,PSDB,PR,Titular,0,1
53,141486,1141486,camara,Luiz Carlos Setim,M,DEM,PR,Suplente,0,1
53,74142,174142,camara,Luiz Carreira,M,DEM,BA,Titular,0,1
53,74041,174041,camara,Luiz Couto,M,PT,PB,Titular,0,1
53,141487,1141487,camara,Luiz Fernando Faria,M,PP,MG,Titular,0,1
53,141489,1141489,camara,Luiz Paulo Vellozo Lucas,M,PSDB,ES,Titular,0,1
53,74688,174688,camara,Luiz Sérgio,M,PT,RJ,Titular,0,1
53,74784,174784,camara,Luiza Erundina,F,PSOL,SP,Titular,1,1
53,73936,173936,camara,Lupércio Ramos,M,PMDB,AM,Efetivado,0,1
53,74802,174802,camara,Magela,M,PT,DF,Titular,0,1
53,149327,1149327,camara,Major Fábio,M,PROS,PB,Efetivado,0,1
53,74163,174163,camara,Carlos Manato,M,PSL,ES,Titular,0,1
53,141490,1141490,camara,Manoel Junior,M,MDB,PB,Titular,0,1
53,74456,174456,camara,Manoel Salviano,M,PSD,CE,Titular,0,1
53,141492,1141492,camara,Manuela D'ávila,F,PCdoB,RS,Titular,0,1
53,74124,174124,camara,Marçal Filho,M,MDB,MS,Suplente,0,1
53,146613,1146613,camara,Marcelo Almeida,M,PMDB,PR,Efetivado,0,1
53,74460,174460,camara,Marcelo Castro,M,MDB,PI,Titular,0,1
53,74143,174143,camara,Marcelo Guimarães Filho,M,PMDB,BA,Suplente,0,1
53,141495,1141495,camara,Marcelo Itagiba,M,PSDB,RJ,Titular,0,1
53,141494,1141494,camara,Marcelo Melo,M,PMDB,GO,Titular,0,1
53,74278,174278,camara,Marcelo Ortiz,M,PODE,SP,Suplente,0,1
53,141493,1141493,camara,Marcelo Serafim,M,PSB,AM,Titular,0,1
53,74300,174300,camara,Marcelo Teixeira,M,PR,CE,Titular,0,1
53,141497,1141497,camara,Márcio França,M,PSB,SP,Titular,0,1
53,141496,1141496,camara,Marcio Junqueira,M,PROS,RR,Efetivado,0,1
53,150418,1150418,camara,Márcio Marinho,M,REPUBLICANOS,BA,Titular,1,1
53,115899,1115899,camara,Marcio Passos,M,PR,MG,Suplente,0,1
53,74744,174744,camara,Marcio Reinaldo Moreira,M,PP**,MG,Titular,0,1
53,133373,1133373,camara,Marco Maia,M,PT,RS,Titular,0,1
53,74470,174470,camara,Marcondes Gadelha,M,PSC,PB,Efetivado,0,1
53,141499,1141499,camara,Marcos Antonio,M,PRB,PE,Titular,0,1
53,74745,174745,camara,Marcos Lima,M,PMDB,MG,Suplente,0,1
53,74634,174634,camara,Marcos Medrado,M,PODE,BA,Suplente,0,1
53,141500,1141500,camara,Marcos Montes,M,PSD,MG,Titular,0,1
53,74586,174586,camara,Maria Do Carmo Lara,F,PT,MG,Titular,0,1
53,74398,174398,camara,Maria Do Rosário,F,PT,RS,Titular,1,1
53,64960,164960,camara,Maria Helena,F,MDB,RR,Titular,0,1
53,74587,174587,camara,Maria Lúcia Cardoso,F,PMDB,MG,Titular,0,1
53,141505,1141505,camara,Marina Maggessi,F,PPS,RJ,Titular,0,1
53,74177,174177,camara,Marinha Raupp,F,MDB,RO,Titular,0,1
53,74747,174747,camara,Mário De Oliveira,M,PSC,MG,Titular,0,1
53,74158,174158,camara,Mário Heringer,M,PDT,MG,Titular,1,1
53,74635,174635,camara,Mário Negromonte,M,PP**,BA,Titular,0,1
53,147653,1147653,camara,Matteo Chiarelli,M,DEM,RS,Suplente,0,1
53,74050,174050,camara,Maurício Quintella Lessa,M,PR,AL,Titular,0,1
53,74045,174045,camara,Maurício Rands,M,PT,PE,Titular,0,1
53,141506,1141506,camara,Maurício Trindade,M,PROS,BA,Titular,0,1
53,73588,173588,camara,Mauro Benevides,M,MDB,CE,Suplente,0,1
53,74749,174749,camara,Mauro Lopes,M,MDB,MG,Titular,1,1
53,141507,1141507,camara,Mauro Mariani,M,MDB,SC,Titular,0,1
53,141508,1141508,camara,Mauro Nazif,M,PSB,RO,Titular,1,1
53,73780,173780,camara,Max Rosenmann,M,PMDB,PR,Titular,0,1
53,73904,173904,camara,Mendes Ribeiro Filho,M,PMDB,RS,Titular,0,1
53,74056,174056,camara,Mendonça Prado,M,DEM,SE,Suplente,0,1
53,73552,173552,camara,Michel Temer,M,PMDB,SP,Titular,0,1
53,141509,1141509,camara,Miguel Corrêa,M,PT,MG,Titular,0,1
53,141469,1141469,camara,Miguel Martini,M,PHS,MG,Titular,0,1
53,74337,174337,camara,Milton Barbosa,M,PSC,BA,Suplente,0,1
53,74787,174787,camara,Milton Monti,M,PR,SP,Titular,0,1
