id_autor,nome,cod_tipo,tipo,uri,id_documento,casa,email,forma_de_tratamento,indicador_outros_autores,nome_autor,nome_completo,num_ordem_autor,sexo,sigla_partido,sigla_tipo_autor,uf_autor,uf_parlamentar,url_foto,url_pagina
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201917,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201918,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201919,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201920,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201921,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201922,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204464,Talíria Petrone,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/204464,2201923,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81055,Márcio Jerry,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/81055,2201924,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81055,Márcio Jerry,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/81055,2201925,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81055,Márcio Jerry,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/81055,2201927,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81055,Márcio Jerry,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/81055,2201928,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81055,Márcio Jerry,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/81055,2201929,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Tasso Jereissati,20000,Senador,NA,2201930,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Tasso Jereissati,20000,Senador,NA,2201931,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Tasso Jereissati,20000,Senador,NA,2201932,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Tasso Jereissati,20000,Senador,NA,2201933,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Comissão Mista da MPV 867/2018,9,COMISSÃO MEDIDA PROVISÓRIA,NA,2201934,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Tasso Jereissati,20000,Senador,NA,2201935,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,Tasso Jereissati,20000,Senador,NA,2201936,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73460,Gustavo Fruet,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73460,2201937,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73460,Gustavo Fruet,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/73460,2201938,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152605,Glauber Braga,10000,Deputado,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,2201939,camara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
