,comparacao,distancia
334,2204580_2192459_emenda_na_comissao_jus.txt_459,0.0
335,2204580_2192459_emenda_na_comissao_jus.txt_460,0.0
336,2204580_2192459_emenda_na_comissao_jus.txt_461,0.0
337,2204580_2192459_emenda_na_comissao_jus.txt_462,0.0
338,2204580_2192459_emenda_na_comissao_jus.txt_463,0.0
339,2204580_2192459_emenda_na_comissao_jus.txt_464,0.0
340,2204580_2192459_emenda_na_comissao_jus.txt_465,0.0
341,2204580_2192459_emenda_na_comissao_jus.txt_466,0.0
342,2204580_2192459_emenda_na_comissao_jus.txt_467,0.0
343,2204580_2192459_emenda_na_comissao_jus.txt_468,0.0
344,2204580_2192459_emenda_na_comissao_jus.txt_469,0.0
345,2204580_2192459_emenda_na_comissao_jus.txt_471,0.0
346,2204580_2192459_emenda_na_comissao_jus.txt_472,0.0
347,2204580_2192459_emenda_na_comissao_jus.txt_473,0.0
348,2204580_2192459_emenda_na_comissao_jus.txt_475,0.0
349,2204580_2192459_emenda_na_comissao_jus.txt_476,0.0
350,2204580_2192459_emenda_na_comissao_jus.txt_477,0.0
351,2204580_2192459_emenda_na_comissao_jus.txt_478,0.0
352,2204580_2192459_emenda_na_comissao_jus.txt_479,0.0
353,2204580_2192459_emenda_na_comissao_jus.txt_480,0.0
354,2204580_2192459_emenda_na_comissao_jus.txt_481,0.0
355,2204580_2192459_emenda_na_comissao_jus.txt_483,0.0
356,2204580_2192459_emenda_na_comissao_jus.txt_485,0.0
357,2204580_2192459_emenda_na_comissao_jus.txt_486,0.0
358,2204580_2192459_emenda_na_comissao_jus.txt_489,0.0
359,2204580_2192459_emenda_na_comissao_jus.txt_490,0.0
360,2204580_2192459_emenda_na_comissao_jus.txt_491,0.0
361,2204580_2192459_emenda_na_comissao_jus.txt_492,0.0
362,2204580_2192459_emenda_na_comissao_jus.txt_493,0.0
363,2204580_2192459_emenda_na_comissao_jus.txt_494,0.0
364,2204580_2192459_emenda_na_comissao_jus.txt_495,0.0
365,2204580_2192459_emenda_na_comissao_jus.txt_496,0.0
366,2204580_2192459_emenda_na_comissao_jus.txt_497,0.0
367,2204580_2192459_emenda_na_comissao_jus.txt_498,0.0
368,2204580_2192459_emenda_na_comissao_jus.txt_499,0.0
369,2204580_2192459_emenda_na_comissao_jus.txt_501,0.0
370,2204580_2192459_emenda_na_comissao_jus.txt_502,0.0
371,2204580_2192459_emenda_na_comissao_jus.txt_503,0.0
372,2204580_2192459_emenda_na_comissao_jus.txt_505,0.0
373,2204580_2192459_emenda_na_comissao_jus.txt_506,0.0
374,2204580_2192459_emenda_na_comissao_jus.txt_507,0.0
375,2204580_2192459_emenda_na_comissao_jus.txt_508,0.0
376,2204580_2192459_emenda_na_comissao_jus.txt_509,0.0
377,2204580_2192459_emenda_na_comissao_jus.txt_510,0.0
378,2204580_2192459_emenda_na_comissao_jus.txt_511,0.0
379,2204580_2192459_emenda_na_comissao_jus.txt_512,0.0
380,2204580_2192459_emenda_na_comissao_jus.txt_513,0.0
381,2204580_2192459_emenda_na_comissao_jus.txt_514,0.0
382,2204580_2192459_emenda_na_comissao_jus.txt_515,0.0
383,2204580_2192459_emenda_na_comissao_jus.txt_516,0.0
384,2204580_2192459_emenda_na_comissao_jus.txt_518,0.0
385,2204580_2192459_emenda_na_comissao_jus.txt_519,0.0
386,2204580_2192459_emenda_na_comissao_jus.txt_523,0.0
387,2204580_2192459_emenda_na_comissao_jus.txt_524,0.0
388,2204580_2192459_emenda_na_comissao_jus.txt_525,0.0
389,2204580_2192459_emenda_na_comissao_jus.txt_526,0.0
390,2204580_2192459_emenda_na_comissao_jus.txt_527,0.0
391,2204580_2192459_emenda_na_comissao_jus.txt_528,0.0
392,2204580_2192459_emenda_na_comissao_jus.txt_529,0.0
393,2204580_2192459_emenda_na_comissao_jus.txt_531,0.0
394,2204580_2192459_emenda_na_comissao_jus.txt_532,0.0
395,2204580_2192459_emenda_na_comissao_jus.txt_533,0.0
396,2204580_2192459_emenda_na_comissao_jus.txt_534,0.0
397,2204580_2192459_emenda_na_comissao_jus.txt_535,0.0
398,2204580_2192459_emenda_na_comissao_jus.txt_536,0.0
399,2204580_2192459_emenda_na_comissao_jus.txt_537,0.0
400,2204580_2192459_emenda_na_comissao_jus.txt_538,0.0
401,2204580_2192459_emenda_na_comissao_jus.txt_542,0.0
402,2204580_2192459_emenda_na_comissao_jus.txt_543,0.0
403,2204580_2192459_emenda_na_comissao_jus.txt_544,0.0
404,2204580_2192459_emenda_na_comissao_jus.txt_545,0.0
405,2204580_2192459_emenda_na_comissao_jus.txt_547,0.0
406,2204580_2192459_emenda_na_comissao_jus.txt_548,0.0
407,2204580_2192459_emenda_na_comissao_jus.txt_549,0.0
408,2204580_2192459_emenda_na_comissao_jus.txt_550,0.0
409,2204580_2192459_emenda_na_comissao_jus.txt_551,0.0
410,2204580_2192459_emenda_na_comissao_jus.txt_553,0.0
411,2204580_2192459_emenda_na_comissao_jus.txt_554,0.0
